instance,pcm_intensity,pcm_loudness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,lspFreq_0,lspFreq_1,lspFreq_2,lspFreq_3,lspFreq_4,lspFreq_5,lspFreq_6,lspFreq_7,pcm_zcr,voiceProb,F0,F0env,pcm_RMSenergy,class
100_makeup_1,8.00744164385873E-007,0.5973812009,-6.2298703674,-6.1740861748,-0.6639755477,-5.25365587,-3.6316380221,-3.7937285083,-8.4215929021,-4.8690792709,-1.115838028,2.617407053,-5.7960166409,-7.6943558145,0.2690078345,0.4832661507,0.7336661377,0.9974676853,1.3018765042,1.4399806842,1.8820180388,2.6192866482,0.0791595838,0.6089484787,199.3841706186,189.8635440443,8.00744164385873E-007,0
100_makeup_2,9.01448333892686E-007,0.5995801495,-6.5703066615,-4.6563098465,2.2589340512,-6.7453981153,-1.2518041947,-4.4850110388,-9.8870252258,-2.9286705579,-2.7032515887,-2.7476297432,-5.5954868037,-6.1522348836,0.2541997374,0.4867981367,0.729015882,0.9932000645,1.2957709626,1.4185711497,1.8337132415,2.6093226105,0.0613139189,0.6486062701,190.210476455,181.7972728231,9.01448333892686E-007,0
100_makeup_3,6.61408257978644E-007,0.5954093291,-6.8981557055,-9.7811890492,3.3766456975,-8.2946969459,-3.3579682659,-9.8966435967,-11.2477735627,-5.562343984,-5.0175242225,0.9426217672,-10.2797774446,-5.1035922535,0.2561104374,0.4558075772,0.6980007163,0.9585176525,1.2832463644,1.4151627505,1.8483049262,2.613081039,0.0568199928,0.6283378299,193.0098143939,171.5178156182,6.61408257978644E-007,0
100_makeup_4,8.13295706630466E-007,0.5609056247,-7.5275447263,-8.4450651995,2.2077359178,-9.0655777571,-4.463601183,-9.9761722039,-8.9121804223,-5.2951024925,-5.5720716079,0.3279554492,-6.8586345422,-4.5529215154,0.258370014,0.4622264606,0.7192275265,0.969741367,1.295470381,1.4153669968,1.8327220556,2.6078043571,0.0593360109,0.5903120157,191.997057485,178.8632479048,8.13295706630466E-007,0
100_makeup_5,7.86063034636604E-007,0.5698703163,-7.1554831196,-11.961032253,-3.3348682383,-7.5821591759,-1.3129241337,-11.1670605668,-10.7543216391,-0.8367137431,-1.9285089769,-4.5965515171,-7.5662312995,-5.4025706506,0.24990423,0.4421210696,0.7178261137,0.9636761022,1.2835982233,1.4106187296,1.845979437,2.6174288296,0.0591551667,0.5890843741,187.8252978723,172.2638919259,7.86063034636604E-007,1
100_makeup_6,7.98874233659459E-007,0.4915463887,-9.6595062099,-6.0433209795,0.5473449226,-0.739220711,-2.4221301739,-4.560340351,-6.9939341844,-1.9347155767,-4.3874004205,-3.610248689,-7.3880568912,-5.9995111686,0.2884641357,0.5056349762,0.7612306886,1.0190374124,1.300593848,1.4124582423,1.7781727815,2.6003294371,0.0691657187,0.5563431287,191.0972438503,181.4692434679,7.98874233659459E-007,1
100_makeup_7,1.13585415497261E-006,0.7036526547,-2.786204727,-10.4947112087,-4.8323046673,-13.0871390439,0.1116937328,-6.6275786006,-15.3315691994,-9.3683252953,-7.4995296651,-9.2545694775,-9.1495138445,-12.9767421349,0.2159119601,0.4160041968,0.6878108326,0.9703448762,1.2893162878,1.4050097064,1.8752390785,2.6188558401,0.0460820394,0.713544216,204.7415875502,195.2238104651,1.13585415497261E-006,1
100_makeup_8,1.03965473465169E-006,0.5677997154,-7.7354431666,-5.7873321844,-4.931315494,-5.7617365584,-4.610613002,-9.1567757728,-8.7804175409,-3.6160054214,-1.7237702394,-0.3234454527,-0.9804087955,-4.7100817288,0.2640832591,0.5001926299,0.7641877344,1.0029349734,1.2949643506,1.4220808052,1.8375726299,2.6079228701,0.0697684012,0.5715308955,209.4574518987,182.5280512987,1.03965473465169E-006,1
100_makeup_9,3.17658901623042E-007,0.4456748687,-14.2932793738,-3.6672329148,10.0619497195,-8.3250319128,-2.7981839444,-8.5835442107,-7.4742802483,-15.1553575644,-10.0850075603,-6.8295315356,-3.9571277101,-6.7944562467,0.3191223436,0.516920857,0.7571610128,0.9709869215,1.2936136309,1.4057690738,1.8053317114,2.6176881745,0.0708622637,0.6360885409,278.6482590361,254.2065019463,3.17658901623042E-007,0
101_movies_1,4.67796767443548E-007,0.5311725229,-7.8817039904,-10.2492999399,7.3730015922,-19.8132324595,-12.0817649701,-10.6284782313,-13.2526394766,-3.5132076997,-9.0052225536,-5.0216915798,-8.7755241383,-0.2937259293,0.2355537122,0.4648799101,0.6647341338,0.9296269477,1.2699815746,1.4299132175,1.935894864,2.6342021707,0.0549613396,0.7159813086,275.4709982213,259.7853469637,4.67796767443548E-007,1
101_movies_2,5.7412257546058E-007,0.5653135178,-10.8774994292,-16.8936181004,-0.6957721842,-18.7496081805,-6.7576799182,-9.9148087533,-7.7941964284,1.6183518876,-3.0561512264,-6.9002142547,-5.6765646335,5.0831437427,0.2526640084,0.4593990249,0.6829923005,0.8976860207,1.2788739009,1.4399805434,1.9143722877,2.6208512934,0.0673087138,0.6690983328,278.3511727273,274.7989899057,5.7412257546058E-007,1
101_movies_3,4.1635901455228E-007,0.5273717828,-10.2248611096,-14.5156944692,1.2077294984,-23.1820860375,-6.2077533635,-11.3092443183,-8.9583901981,4.1834526177,-6.556304067,-5.7097119945,-9.4829604464,-1.0507934634,0.2481101719,0.4764471769,0.670382709,0.877149508,1.256984998,1.4324874739,1.9077896466,2.6227046889,0.0619453617,0.6412944189,225.4981261391,220.2786255863,4.1635901455228E-007,1
101_movies_4,4.21947139980686E-007,0.5055491884,-9.7923036339,-13.4180054788,6.4361455712,-22.3930931841,-11.0262415883,-15.7050039536,-16.4444773888,0.4435482446,-8.2049726098,-1.0445858203,-19.5594552576,1.8458266601,0.2568333978,0.4768993794,0.6883561022,0.890274652,1.26426981,1.4295970062,1.8973890748,2.621748648,0.0617940889,0.6628719268,238.5478200873,221.8526329907,4.21947139980686E-007,1
101_movies_5,0.000000498,0.5677040061,-6.5237430539,-8.7778201642,-1.5135163127,-19.5744757972,-6.8955986496,-11.6384036482,-16.0349696005,-4.2780443777,-8.5551162996,-10.5565403228,-11.4704415345,-0.9737365748,0.2170283059,0.4679181842,0.6937716538,0.9139362698,1.262979777,1.4350377773,1.9086444409,2.6220366348,0.0511689892,0.7453009436,246.7022959032,244.8513473939,0.000000498,1
102_books_1,4.13848769836671E-006,1.0452987124,-0.5257856381,-6.9603734723,-11.4953980959,-8.1897604732,-2.8701006717,4.8474222549,-10.1973499922,3.0927984641,5.3442318777,-0.1581685564,-5.3694237652,-2.3663405123,0.214915846,0.4581300489,0.7510312164,1.0462916943,1.3245408621,1.4453245071,1.8889090487,2.6171155274,0.0728200243,0.6639843093,210.1700332298,206.5689263083,4.13848769836671E-006,1
102_books_2,0.000003706,1.1079346092,3.3373160627,-6.255403741,-11.9523137214,-12.6405917951,-9.5438848248,-4.7626188548,-10.9598427111,0.5800029154,10.598825442,3.368501252,-4.7536090778,-0.8306766007,0.18328628,0.398341578,0.7087735402,1.0369975635,1.3325629628,1.4330950608,1.9172058514,2.6189866858,0.0518732699,0.7103943473,210.8555405063,205.7153438514,0.000003706,1
102_books_3,4.25376097778585E-006,1.1085469721,3.1438320856,-7.9387982415,-13.9069325301,-12.3837154594,-7.623168976,-1.8917308259,-8.1877447836,6.3973604701,8.8963429583,3.534714452,-3.8568385992,0.9670945946,0.1830162001,0.4019503492,0.7074225725,1.0394291768,1.3311910491,1.4443780377,1.9302274113,2.6223720755,0.0481414332,0.7110883857,202.2363021739,196.8084450377,4.25376097778585E-006,1
102_books_4,3.49912860695765E-006,1.0305219975,2.2802489353,-5.6864527782,-13.77198702,-7.6133302517,-3.0776127591,2.9318849679,-10.4113915832,3.1078613119,7.9231396023,3.6876878968,0.7200814024,1.8452023432,0.1869044523,0.4269333033,0.7403949175,1.0386570601,1.325036313,1.4417940016,1.894159687,2.6135486491,0.0492665656,0.6860691051,202.5136881038,205.1935958649,3.49912860695765E-006,1
102_books_5,4.10241728009705E-006,1.0991481516,3.1277838092,-10.4022088486,-9.7158582133,-12.9344404415,-6.3643526896,2.786190047,-8.3260718612,3.0032528326,7.0350160011,4.2447510343,-6.3239090402,0.9331349229,0.1824524359,0.4079695667,0.6807592168,1.0229224084,1.3299314666,1.4544105463,1.9476349271,2.6238531274,0.0496793494,0.7162652215,224.0518945643,221.3579201294,4.10241728009705E-006,1
103_books_3,5.33637199484724E-007,0.5866753414,-10.4656277362,-8.5032598692,-4.469461285,-7.51453647,-21.438501836,-15.3707639662,-16.3655373488,-13.2159688662,-5.5504130718,-7.0047269341,-6.4547016389,-1.800050605,0.261328707,0.4823210908,0.7549934842,1.026152518,1.2808985088,1.4027322588,1.754739193,2.5857286053,0.0737820299,0.6420226351,178.9815285714,164.7725932456,5.33637199484724E-007,0
103_books_4,1.00267174731743E-006,0.661633863,-10.9235252402,-12.0161401665,-10.9288863188,-14.0411549431,-21.3110076623,-18.4351692838,-14.694616242,-10.8581194406,-4.3737226334,-3.9412644834,-8.8413674403,-1.3228322732,0.2583219158,0.459456518,0.7467633038,1.0063768139,1.2779433846,1.3936014207,1.7484040601,2.580057774,0.0665296585,0.6328832452,199.3179970803,172.3779230769,1.00267174731743E-006,1
103_books_5,1.32466211628615E-007,0.3598233637,-12.1271797497,-9.0028527104,-11.8704278589,-9.4838230556,-11.3543294554,-12.0259666058,-8.7188402061,1.2107276188,-0.2961926919,-1.4300938374,-0.8513867845,1.6147247709,0.266239046,0.4907506258,0.7959924144,1.0334884676,1.2757786316,1.3849707812,1.693078518,2.5725557396,0.0763267148,0.4471346582,167.5849492857,170.8986806648,1.32466211628615E-007,0
103_books_6,2.11570931646551E-006,0.9032996134,-11.7818480646,-13.7686782584,-11.5704900791,-15.6578965767,-24.1686410986,-20.3379573229,-18.3412640203,-9.5003811956,-5.6527113588,-1.2854315015,-6.929999692,-6.754133331,0.2640320681,0.4502779983,0.7430094261,1.0122027186,1.2864101794,1.3966381864,1.786261277,2.5897345226,0.0722546382,0.6901403094,206.0468158986,196.9633858537,2.11570931646551E-006,1
103_books_7,1.03518840735927E-006,0.6845915666,-10.7843667898,-14.7308422554,-12.1277296473,-10.3450874038,-23.6230105386,-21.5352049512,-12.6789683112,-7.9978455262,-4.6422939703,-3.4328865505,-7.3222465298,-2.9234494135,0.2541826166,0.4280679197,0.7593180637,1.0182302694,1.294151255,1.4015524702,1.7645225787,2.5825474919,0.0688702033,0.5980869309,203.272252439,189.3576446655,1.03518840735927E-006,1
103_books_8,5.27432010147695E-007,0.5766656003,-9.6713951459,-8.2133425349,-9.2706268413,-10.0416090886,-21.5359993313,-17.0885948455,-14.7432928607,-14.3136558637,-8.834904501,-7.0526880425,-8.6100967041,-2.0094691615,0.252905916,0.4613929202,0.7675519447,1.0238098097,1.2832467607,1.3980397664,1.711516057,2.574187641,0.0598858868,0.6722148499,189.8050718876,180.5548536467,5.27432010147695E-007,1
104_makeup_1,3.3511545600057E-007,0.431434553,-20.8463032849,-9.9867342712,-21.5431922202,-16.2525889607,-21.4716155139,-0.1191446098,-22.3021359923,-0.5052264198,-18.7349164316,3.5984510439,-13.3299335473,8.4036604328,0.3269019479,0.5502757006,0.936535492,1.0730597376,1.2190362137,1.4388932906,1.9088928689,2.6251538433,0.1789370083,0.6966677732,195.4484212544,194.5837718519,3.3511545600057E-007,1
104_makeup_2,2.34173428182239E-007,0.4010966712,-24.2357977338,-9.5684340415,-20.7121856585,-15.545430454,-22.36150271,1.7386549482,-20.3699098766,-3.9199870812,-20.4976647172,0.0803696881,-13.7557415507,9.1977626485,0.3523779533,0.5782730055,0.9467597401,1.0732734528,1.2294226618,1.4306458227,1.929247312,2.6286558178,0.2001403859,0.6799106034,205.949984264,206.4789328488,2.34173428182239E-007,0
104_makeup_3,2.48437669707668E-007,0.4478304123,-20.8531140877,-11.2708509548,-19.7750992402,-19.6990234108,-23.3188873577,-1.3461385974,-21.106040444,-4.9066463589,-24.3049978708,-1.4614605777,-17.1053874033,7.0871063893,0.319032766,0.5255090759,0.9000619181,1.0664552701,1.1842474234,1.4108137772,1.8692260655,2.6174708565,0.1481298152,0.6252703291,206.2864454343,198.8409339833,2.48437669707668E-007,0
104_makeup_4,4.16365583514403E-007,0.5155715289,-20.6201975823,-10.3994686878,-22.6439613467,-21.1469196693,-18.54801233,3.2171919306,-18.5000109212,-1.1849166848,-24.4859520829,0.2814968545,-16.237372499,5.9189445127,0.3118882967,0.5215766523,0.9265455354,1.0709340893,1.2076767778,1.4206605802,1.8839521996,2.6211326173,0.1556790494,0.7061738765,205.4986997481,196.2990852675,4.16365583514403E-007,0
104_makeup_5,1.91455762319363E-007,0.4266331708,-21.4653307745,-6.2640774735,-19.6063253154,-16.8300325708,-24.6611802443,-3.461433291,-23.7558899466,-7.626186699,-22.9555600568,-0.3574139983,-13.8517262398,-0.8441047813,0.3382493918,0.5648269374,0.9332669045,1.074665122,1.1944325623,1.4173941008,1.854163008,2.6167432732,0.1523527598,0.673322669,202.642284965,190.2684868435,1.91455762319363E-007,0
104_makeup_6,3.80569839699206E-007,0.4242618423,-23.9504955757,-11.4459557031,-20.6048102063,-14.4604126238,-21.354256509,4.1045018934,-15.6444718764,-4.9688537077,-16.1958518782,6.275229437,-16.7441679101,3.645919746,0.3561420074,0.5222181593,0.9517842476,1.0742807513,1.1941570952,1.4165191429,1.8730380847,2.6187603122,0.1823406106,0.5810480164,184.2205058252,147.1714004233,3.80569839699206E-007,0
105_makeup_1,2.21680006282095E-007,0.4006998263,-20.3201863412,-14.2908610151,-20.2696460044,-9.1880299486,-19.2296622432,1.7440497384,-22.5449302206,-0.3684476147,-22.8972591939,3.3070399129,-19.1202959159,7.2468397484,0.3240359341,0.5220954956,0.9372331389,1.076634452,1.2136841993,1.4438410676,1.9404415642,2.6379343041,0.1824385605,0.7051252615,200.0263145923,185.6222890541,2.21680006282095E-007,0
105_makeup_2,3.12732402955625E-007,0.4818910521,-19.6797697165,-12.4614370311,-12.8005458243,-26.2712335515,-25.9601280355,-0.5335023169,-21.511045415,-3.6412509756,-22.342827181,7.7031236731,-15.5750872335,8.5131017345,0.3166556268,0.5069684365,0.85357581,1.0641006288,1.1784350775,1.413945445,1.8316992325,2.616633185,0.1251246615,0.695740915,212.8381377419,206.210394425,3.12732402955625E-007,1
